Питання,Варіант 1 (вірний),Варіант 2,Варіант 3,Варіант 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.includes(2); console.log(result);,true,false,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.fill(0); console.log(result);,[0, 0, 0, 0],[1, 2, 3, 4],[0, 1, 2, 3],[1, 2, 3, 0]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.copyWithin(1, 0); console.log(result);,[1, 1, 2, 3],[1, 2, 3, 4],[2, 3, 4, 1],[1, 1, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flat(); console.log(result);,[1, 2, 3, 4],[1, 2],[2, 3],[1, 3]
What will be logged to the console? const numbers = [1, [2, 3], 4]; const result = numbers.flat(); console.log(result);,[1, 2, 3, 4],[1, [2, 3], 4],[2, 3, 4],[1, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.toString(); console.log(result);,1,2,3,4,1-2-3-4,1234,1 2 3 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.valueOf(); console.log(result);,[1, 2, 3, 4],1,2,3,4,1234,1 2 3 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.toLocaleString(); console.log(result);,1,2,3,4,1-2-3-4,1234,1 2 3 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.toJSON(); console.log(result);,[1, 2, 3, 4],1,2,3,4,1234,1 2 3 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = Array.from(numbers); console.log(result);,[1, 2, 3, 4],1,2,3,4,1234,1 2 3 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = Array.of(5, 6, 7); console.log(result);,[5, 6, 7],[1, 2, 3, 4],[6, 7, 8],[7, 8, 9]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = Array.isArray(numbers); console.log(result);,true,false,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.push(5); console.log(result);,5,[1, 2, 3, 4, 5],4,[1, 2, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.pop(); console.log(result);,4,[1, 2, 3],3,[1, 2, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.shift(); console.log(result);,1,[2, 3, 4],2,[1, 2, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.unshift(0); console.log(result);,5,[0, 1, 2, 3, 4],4,[1, 2, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.map(num => num * 2); console.log(result);,[2, 4, 6, 8],[1, 2, 3, 4],[2, 3, 4, 5],[4, 6, 8, 10]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.filter(num => num > 2); console.log(result);,[3, 4],[1, 2],[2, 3, 4],[1, 3, 4]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.reduce((acc, num) => acc * num, 1); console.log(result);,24,10,1,4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.find(num => num < 3); console.log(result);,1,2,3,4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.every(num => num < 5); console.log(result);,true,false,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.some(num => num < 2); console.log(result);,true,false,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.slice(2); console.log(result);,[3, 4],[1, 2],[2, 3],[1, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.splice(2, 1); console.log(result);,[3],[1, 2],[2, 3],[1, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.concat([5, 6, 7]); console.log(result);,[1, 2, 3, 4, 5, 6, 7],[5, 6, 7],[1, 2, 3, 4],[6, 7, 8]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.join(' '); console.log(result);,1 2 3 4,1,2,3,4,1234,1-2-3-4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.reverse(); console.log(result);,[4, 3, 2, 1],[1, 2, 3, 4],[2, 3, 4, 1],[4, 1, 2, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.sort((a, b) => a - b); console.log(result);,[1, 2, 3, 4],[4, 3, 2, 1],[2, 3, 4, 1],[4, 1, 2, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.findIndex(num => num < 2); console.log(result);,0,1,2,3
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.indexOf(4); console.log(result);,3,2,1,0
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.includes(5); console.log(result);,false,true,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.fill(1, 2); console.log(result);,[1, 2, 1, 1],[1, 2, 3, 4],[1, 1, 1, 1],[1, 2, 3, 1]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.copyWithin(2, 0); console.log(result);,[1, 2, 1, 2],[1, 2, 3, 4],[2, 3, 4, 1],[1, 2, 1, 2]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num * 2]); console.log(result);,[1, 2, 2, 4, 3, 6, 4, 8],[1, 2, 3, 4],[2, 4, 6, 8],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num + 1]); console.log(result);,[1, 2, 2, 3, 3, 4, 4, 5],[1, 2, 3, 4],[2, 3, 4, 5],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num - 1]); console.log(result);,[1, 0, 2, 1, 3, 2, 4, 3],[1, 2, 3, 4],[0, 1, 2, 3],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num * num]); console.log(result);,[1, 1, 2, 4, 3, 9, 4, 16],[1, 2, 3, 4],[1, 4, 9, 16],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num / 2]); console.log(result);,[1, 0.5, 2, 1, 3, 1.5, 4, 2],[1, 2, 3, 4],[0.5, 1, 1.5, 2],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num + 2]); console.log(result);,[1, 3, 2, 4, 3, 5, 4, 6],[1, 2, 3, 4],[3, 4, 5, 6],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num - 2]); console.log(result);,[1, -1, 2, 0, 3, 1, 4, 2],[1, 2, 3, 4],[-1, 0, 1, 2],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num * 3]); console.log(result);,[1, 3, 2, 6, 3, 9, 4, 12],[1, 2, 3, 4],[3, 6, 9, 12],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num / 3]); console.log(result);,[1, 0.3333333333333333, 2, 0.6666666666666666, 3, 1, 4, 1.3333333333333333],[1, 2, 3, 4],[0.3333333333333333, 0.6666666666666666, 1, 1.3333333333333333],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num + 3]); console.log(result);,[1, 4, 2, 5, 3, 6, 4, 7],[1, 2, 3, 4],[4, 5, 6, 7],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num - 3]); console.log(result);,[1, -2, 2, -1, 3, 0, 4, 1],[1, 2, 3, 4],[-2, -1, 0, 1],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num * 4]); console.log(result);,[1, 4, 2, 8, 3, 12, 4, 16],[1, 2, 3, 4],[4, 8, 12, 16],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num / 4]); console.log(result);,[1, 0.25, 2, 0.5, 3, 0.75, 4, 1],[1, 2, 3, 4],[0.25, 0.5, 0.75, 1],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num + 4]); console.log(result);,[1, 5, 2, 6, 3, 7, 4, 8],[1, 2, 3, 4],[5, 6, 7, 8],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num - 4]); console.log(result);,[1, -3, 2, -2, 3, -1, 4, 0],[1, 2, 3, 4],[-3, -2, -1, 0],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num * 5]); console.log(result);,[1, 5, 2, 10, 3, 15, 4, 20],[1, 2, 3, 4],[5, 10, 15, 20],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num / 5]); console.log(result);,[1, 0.2, 2, 0.4, 3, 0.6, 4, 0.8],[1, 2, 3, 4],[0.2, 0.4, 0.6, 0.8],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num + 5]); console.log(result);,[1, 6, 2, 7, 3, 8, 4, 9],[1, 2, 3, 4],[6, 7, 8, 9],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num - 5]); console.log(result);,[1, -4, 2, -3, 3, -2, 4, -1],[1, 2, 3, 4],[-4, -3, -2, -1],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num * 6]); console.log(result);,[1, 6, 2, 12, 3, 18, 4, 24],[1, 2, 3, 4],[6, 12, 18, 24],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num / 6]); console.log(result);,[1, 0.16666666666666666, 2, 0.3333333333333333, 3, 0.5, 4, 0.6666666666666666],[1, 2, 3, 4],[0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666],[1, 3, 5, 7]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.flatMap(num => [num, num + 6]); console.log(result);,[1, 7, 2, 8, 3, 9, 4, 10],[1, 2
